"Name","ResourceGroupName","Location","ProvisioningState"
"workers-sg","databricks-rg-ladbs-databricks-y7342kulxi2tw","westus","Succeeded"
"vm08dmz-nsg","rg-backups","westus","Succeeded"
"dbswcpdb01-nsg","rg-database","westus","Succeeded"
"dbswcpdb02-nsg","rg-database","westus","Succeeded"
"dbswcpdbnsg252","rg-database","westus","Succeeded"
"oracledbp01-nsg","rg-database","westus","Succeeded"
"oracledbp01nsg670","rg-database","westus","Succeeded"
"aadds-nsg","rg-identity","westus","Succeeded"
"vm-08ibasdc13-nsg","rg-identity","westus","Succeeded"
"az-08zpacon01-nsg","rg-network","westus","Succeeded"
"az-08zpacon02-nsg","rg-network","westus","Succeeded"
"az-08zpacon03-nsg","rg-network","westus","Succeeded"
"basicNsgaz-08ibasdc15-nic2","rg-network","westus","Succeeded"
"basicNsgnic-08idis02","rg-network","westus","Succeeded"
"basicNsgnic-08idis02-01","rg-network","westus","Succeeded"
"basicNsgnic-08idis02-02","rg-network","westus","Succeeded"
"basicNsgnic-az-vdi-wt-2","rg-network","westus","Succeeded"
"basicNsgnic-dmzbldginfo1","rg-network","westus","Succeeded"
"basicNsgnic-dmzbldginfo2","rg-network","westus","Succeeded"
"basicNsgnic-newidis","rg-network","westus","Succeeded"
"basicNsgnic-vm-08picnn1-1","rg-network","westus","Succeeded"
"basicNsgNIC-VM-08QADMZWEB02-CLONE-snservernic","rg-network","westus","Succeeded"
"basicNsgvm-08picnn2-2","rg-network","westus","Succeeded"
"nsg-app-pe","rg-network","westus","Succeeded"
"nsg-cdbp01blac","rg-network","westus","Succeeded"
"nsg-database-pe","rg-network","westus","Succeeded"
"nsg-dc","rg-network","westus","Succeeded"
"nsg-ladbsproduction","rg-network","westus","Succeeded"
"nsg-prodappservices","rg-network","westus","Succeeded"
"nsg-snserver","rg-network","westus","Succeeded"
"az-oeltexprte-nsg","rg-oracle-db","westus","Succeeded"
"oracledbdr02-nsg","rg-oracle-db","westus","Succeeded"
"oracledbdr02nsg985","rg-oracle-db","westus","Succeeded"
"az-08qapermitla14c01-nsg","rg-permitla","westus","Succeeded"
"az-08qapermitla14c02-nsg","rg-permitla","westus","Succeeded"
"az-08alvinnetworktest-nsg","rg-servers","westus","Succeeded"
"az-08autorest-nsg","rg-servers","westus","Succeeded"
"az-08confluent-nsg","rg-servers","westus","Succeeded"
"az-08datafactory-nsg","rg-servers","westus","Succeeded"
