"Name","ResourceGroupName","Location","ProvisioningState","DisableBgpRoutePropagation"
"rt-appservices","rg-applications","westus","Succeeded","False"
"rt-appgw-backend","rg-network","westus","Succeeded","True"
"rt-az-08ibasdc13","rg-network","westus","Succeeded","False"
"rt-bypassfirewall","rg-network","westus","Succeeded","True"
"rt-default-route","rg-network","westus","Succeeded","True"
"rt-dmz","rg-network","westus","Succeeded","True"
"rt-dmzsn","rg-network","westus","Succeeded","False"
"rt-gateway","rg-network","westus","Succeeded","False"
"rt-identity","rg-network","westus","Succeeded","False"
"rt-lacitytenant","rg-network","westus","Succeeded","True"
"rt-ladbsproduction","rg-network","westus","Succeeded","False"
"rt-ladbsservices3","rg-network","westus","Succeeded","True"
"rt-oci","rg-network","westus","Succeeded","False"
"rt-lacps-api-mgmt-ext","rg-team-nr","westus","Succeeded","True"
"rt-identityEUS","rg-networkEUS","eastus","Succeeded","False"
"rt-ladbsproduction-eus","rg-networkEUS","eastus","Succeeded","False"
"rt-dr-default-route","rg-network","westus3","Succeeded","True"
"rt-ladbsdr","rg-network","westus3","Succeeded","False"
