"VNetName","ResourceGroup","Location","SubnetName","AddressPrefix"
"workers-vnet","databricks-rg-ladbs-databricks-y7342kulxi2tw","westus","public-subnet","10.139.0.0/18"
"workers-vnet","databricks-rg-ladbs-databricks-y7342kulxi2tw","westus","private-subnet","10.139.64.0/18"
"vnet-ladbs-web","rg-ai","westus","snet-pe","10.20.1.0/24"
"VM-WebExpresRouteTest-vnet","rg-dev-test-servers","westus","default","10.1.0.0/24"
"vnet-avd-westus","rg-network","westus","sn-vmhost-new","10.193.160.0/22"
"vnet-avd-westus","rg-network","westus","sn-storage-new","10.193.165.0/27"
"vnet-avd-westus","rg-network","westus","sn-vmhost-tsb-new","10.193.164.0/25"
"vnet-hub-westus","rg-network","westus","AzureBastionSubnet","10.193.193.0/26"
"vnet-hub-westus","rg-network","westus","ApplicationGatewaySubnet","10.193.195.0/27"
"vnet-hub-westus","rg-network","westus","AzureDnsInbound","10.193.193.160/28"
"vnet-hub-westus","rg-network","westus","AzureDnsOutbound","10.193.193.176/28"
"vnet-hub-westus","rg-network","westus","IdentitySubnet","10.193.194.0/28"
"vnet-prod2","rg-network","westus","sn-db","10.193.199.0/26"
"vnet-production-westus","rg-network","westus","sn-database-managed","10.193.204.0/27"
"vnet-production-westus","rg-network","westus","sn-appserviceenvironment","10.193.205.0/24"
"vnet-production-westus","rg-network","westus","sn-database-mysql","10.193.202.0/26"
"vnet-production-westus","rg-network","westus","sn-database-pgsql","10.193.203.64/26"
"vnet-production-westus","rg-network","westus","sn-virtual-network-data-gateway-fabric","10.193.218.0/27"
"vnet-production-westus","rg-network","westus","sn-functionapps","10.193.204.48/28"
"vnet-production-westus","rg-network","westus","sn-lacps-logic-apps","10.193.218.32/27"
"vnet-production-westus","rg-network","westus","sn-rubrik-exocompute","10.193.216.0/24"
"vnet-production-westus","rg-network","westus","sn-oci","10.193.217.0/24"
"vnet-production-westus","rg-network","westus","sn-dmz","10.193.206.0/25"
"vnet-production-westus","rg-network","westus","sn-lacpsidis-functionapp","10.193.204.128/27"
"vnet-production-westus","rg-network","westus","sn-lacpscashwiz-functionapp","10.193.204.64/27"
"vnet-production-westus","rg-network","westus","sn-storage-netapp","10.193.207.0/26"
"vnet-production-westus","rg-network","westus","sn-appserv-pe","10.193.203.128/25"
"vnet-production-westus","rg-network","westus","sn-appservices","10.193.202.128/25"
"vnet-production-westus","rg-network","westus","sn-server","10.193.200.0/23"
"vnet-production-westus","rg-network","westus","sn-app-pe","10.193.203.0/27"
"vnet-production-westus","rg-network","westus","sn-dc","10.193.204.32/28"
"vnet-production-westus","rg-network","westus","sn-applicationgateway","10.193.203.32/27"
"vnet-production-westus","rg-network","westus","sn-storage-retired","10.193.207.224/28"
"vnet-production-westus","rg-network","westus","sn-storage","10.193.202.64/26"
"vnet-production-westus","rg-network","westus","sn-container-apps","10.193.218.64/27"
"vnet-production-westus","rg-network","westus","sn-drupal-conapp","10.193.206.128/27"
"vnet-production-westus","rg-network","westus","sn-database-pe","10.193.204.192/27"
"vnet-spoke-avd-uswest","rg-network","westus","sn-avdpe","10.193.196.160/28"
"vnet-spoke-avd-uswest","rg-network","westus","sn-vmhost","10.193.196.0/25"
"vnet-spoke-avd-uswest","rg-network","westus","sn-storage","10.193.196.128/27"
"vnet-spoke-avd-uswest","rg-network","westus","sn-vmhost-tsb","10.193.196.192/26"
"vnet-asr-test-eastus","rg-networkEUS","eastus","sn-asr-test-eastus","10.193.120.0/25"
"vnet-avd-eastus","rg-networkEUS","eastus","sn-vmhostEUS","10.193.112.0/23"
"vnet-avd-eastus","rg-networkEUS","eastus","sn-vmhost-tsbEUS","10.193.114.0/24"
"vnet-avd-eastus","rg-networkEUS","eastus","sn-avdpeEUS","10.193.115.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","sn-serverEUS","10.193.105.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","sn-storageEUS","10.193.106.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","sn-database-mysqlEUS","10.193.107.32/27"
"vnet-production-eastus","rg-networkEUS","eastus","sn-dmzEUS","10.193.107.64/27"
"vnet-production-eastus","rg-networkEUS","eastus","sn-rubrik-exocomputeEUS","10.193.107.96/27"
"vnet-production-eastus","rg-networkEUS","eastus","sn-firewallEUS","10.193.107.128/27"
"vnet-production-eastus","rg-networkEUS","eastus","sn-storage-netappEUS","10.193.107.160/28"
"vnet-production-eastus","rg-networkEUS","eastus","sn-database-managedEUS","10.193.107.0/27"
"vnet-production-eastus","rg-networkEUS","eastus","sn-app-prodEUS","10.193.104.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","aadds-subnet","10.193.108.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","sn-app-peEUS","10.193.109.0/24"
"vnet-production-eastus","rg-networkEUS","eastus","sn-container-appsEUS","10.193.110.0/26"
"vnet-production-eastus","rg-networkEUS","eastus","sn-identityEUS","10.193.107.176/28"
"dr-vnet-asr-westus3","rg-network","westus3","sn-asr-test","10.193.248.0/25"
"dr-vnet-asr-westus3","rg-network","westus3","AzureBastionSubnet","10.193.248.128/26"
"dr-vnet-avd-westus3","rg-network","westus3","sn-storage","10.193.244.128/27"
"dr-vnet-avd-westus3","rg-network","westus3","sn-vmhost-tsb","10.193.244.0/25"
"dr-vnet-avd-westus3","rg-network","westus3","sn-vmhost","10.193.240.0/22"
"dr-vnet-hub-westus3","rg-network","westus3","IdentitySubnet","10.193.228.64/29"
"dr-vnet-hub-westus3","rg-network","westus3","RubrikExocomputeSubnet","10.193.228.128/26"
"dr-vnet-hub-westus3","rg-network","westus3","AzureBastionSubnet","10.193.228.0/26"
"dr-vnet-production-westus3","rg-network","westus3","sn-dmz","10.193.235.0/25"
"dr-vnet-production-westus3","rg-network","westus3","sn-server","10.193.232.0/23"
"dr-vnet-production-westus3","rg-network","westus3","sn-dns-resolver","10.193.234.128/28"
"dr-vnet-production-westus3","rg-network","westus3","sn-pe","10.193.236.0/24"
"dr-vnet-production-westus3","rg-network","westus3","AzureDnsInbound","10.193.234.32/28"
"dr-vnet-production-westus3","rg-network","westus3","AzureDnsOutbound","10.193.234.48/28"
"dr-vnet-production-westus3","rg-network","westus3","AzureBastionSubnet","10.193.234.64/26"
"dr-vnet-production-westus3","rg-network","westus3","sn-appservicesWUS3","10.193.237.128/25"
"dr-vnet-production-westus3","rg-network","westus3","sn-appserv-peWUS3","10.193.237.0/25"
"dr-vnet-production-westus3","rg-network","westus3","sn-database-managed","10.193.234.0/27"
